Year,GDP
1955 Q1 ,4749
1955 Q2 ,4773
1955 Q3 ,4941
1955 Q4 ,5027
1956 Q1 ,5124
1956 Q2 ,5187
1956 Q3 ,5257
1956 Q4 ,5387
1957 Q1 ,5384
1957 Q2 ,5463
1957 Q3 ,5573
1957 Q4 ,5686
1958 Q1 ,5760
1958 Q2 ,5673
1958 Q3 ,5778
1958 Q4 ,5839
1959 Q1 ,5892
1959 Q2 ,6085
1959 Q3 ,6084
1959 Q4 ,6287
1960 Q1 ,6389
1960 Q2 ,6433
1960 Q3 ,6512
1960 Q4 ,6639
1961 Q1 ,6782
1961 Q2 ,6744
1961 Q3 ,6974
1961 Q4 ,6906
1962 Q1 ,7000
1962 Q2 ,7178
1962 Q3 ,7250
1962 Q4 ,7279
1963 Q1 ,7220
1963 Q2 ,7584
1963 Q3 ,7686
1963 Q4 ,7919
1964 Q1 ,7969
1964 Q2 ,8235
1964 Q3 ,8395
1964 Q4 ,8622
1965 Q1 ,8781
1965 Q2 ,8845
1965 Q3 ,9051
1965 Q4 ,9205
1966 Q1 ,9332
1966 Q2 ,9486
1966 Q3 ,9640
1966 Q4 ,9727
1967 Q1 ,9841
1967 Q2 ,10089
1967 Q3 ,10121
1967 Q4 ,10225
1968 Q1 ,10632
1968 Q2 ,10700
1968 Q3 ,11036
1968 Q4 ,11280
1969 Q1 ,11471
1969 Q2 ,11621
1969 Q3 ,11839
1969 Q4 ,12086
1970 Q1 ,12270
1970 Q2 ,12742
1970 Q3 ,13125
1970 Q4 ,13558
1971 Q1 ,13754
1971 Q2 ,14207
1971 Q3 ,14672
1971 Q4 ,15021
1972 Q1 ,15232
1972 Q2 ,15930
1972 Q3 ,16244
1972 Q4 ,17196
1973 Q1 ,18294
1973 Q2 ,18104
1973 Q3 ,18734
1973 Q4 ,19375
1974 Q1 ,19120
1974 Q2 ,20622
1974 Q3 ,21808
1974 Q4 ,22925
1975 Q1 ,24700
1975 Q2 ,26067
1975 Q3 ,27208
1975 Q4 ,28742
1976 Q1 ,30129
1976 Q2 ,30746
1976 Q3 ,31765
1976 Q4 ,33697
1977 Q1 ,34893
1977 Q2 ,36149
1977 Q3 ,37258
1977 Q4 ,38768
1978 Q1 ,40357
1978 Q2 ,41850
1978 Q3 ,42930
1978 Q4 ,44316
1979 Q1 ,45543
1979 Q2 ,48723
1979 Q3 ,51186
1979 Q4 ,53799
1980 Q1 ,55807
1980 Q2 ,57308
1980 Q3 ,59232
1980 Q4 ,60837
1981 Q1 ,61985
1981 Q2 ,63069
1981 Q3 ,64797
1981 Q4 ,66589
1982 Q1 ,68243
1982 Q2 ,69616
1982 Q3 ,70765
1982 Q4 ,72626
1983 Q1 ,74854
1983 Q2 ,75484
1983 Q3 ,77527
1983 Q4 ,79560
1984 Q1 ,80224
1984 Q2 ,82074
1984 Q3 ,82710
1984 Q4 ,85018
1985 Q1 ,86929
1985 Q2 ,90326
1985 Q3 ,91308
1985 Q4 ,93195
1986 Q1 ,94821
1986 Q2 ,96325
1986 Q3 ,97701
1986 Q4 ,100302
1987 Q1 ,102669
1987 Q2 ,105489
1987 Q3 ,109626
1987 Q4 ,111829
1988 Q1 ,115398
1988 Q2 ,117856
1988 Q3 ,121639
1988 Q4 ,125513
1989 Q1 ,128108
1989 Q2 ,130231
1989 Q3 ,133393
1989 Q4 ,136386
1990 Q1 ,139449
1990 Q2 ,143382
1990 Q3 ,145556
1990 Q4 ,145687
1991 Q1 ,147945
1991 Q2 ,150051
1991 Q3 ,151493
1991 Q4 ,153913
1992 Q1 ,155757
1992 Q2 ,156626
1992 Q3 ,156476
1992 Q4 ,158907
1993 Q1 ,162347
1993 Q2 ,163407
1993 Q3 ,166380
1993 Q4 ,168696
1994 Q1 ,171577
1994 Q2 ,173351
1994 Q3 ,175700
1994 Q4 ,179941
1995 Q1 ,181956
1995 Q2 ,184079
1995 Q3 ,186756
1995 Q4 ,189055
1996 Q1 ,192678
1996 Q2 ,196492
1996 Q3 ,198841
1996 Q4 ,200375
1997 Q1 ,203946
1997 Q2 ,207319
1997 Q3 ,211200
1997 Q4 ,213170
1998 Q1 ,217019
1998 Q2 ,218678
1998 Q3 ,221473
1998 Q4 ,225548
1999 Q1 ,228444
1999 Q2 ,228895
1999 Q3 ,233952
1999 Q4 ,238178
2000 Q1 ,241654
2000 Q2 ,243186
2000 Q3 ,244217
2000 Q4 ,246237
2001 Q1 ,251608
2001 Q2 ,253827
2001 Q3 ,256609
2001 Q4 ,257794
2002 Q1 ,261508
2002 Q2 ,265841
2002 Q3 ,268919
2002 Q4 ,272331
2003 Q1 ,277392
2003 Q2 ,282375
2003 Q3 ,286038
2003 Q4 ,290791
2004 Q1 ,294775
2004 Q2 ,298495
2004 Q3 ,300643
2004 Q4 ,305968
2005 Q1 ,308779
2005 Q2 ,314077
2005 Q3 ,317492
2005 Q4 ,322362
2006 Q1 ,328894
2006 Q2 ,330244
2006 Q3 ,333436
2006 Q4 ,340583
2007 Q1 ,343922
2007 Q2 ,351234
2007 Q3 ,356513
2007 Q4 ,360450
2008 Q1 ,364010
2008 Q2 ,362867
2008 Q3 ,357689
2008 Q4 ,356365
2009 Q1 ,347897
2009 Q2 ,346147
2009 Q3 ,351363
2009 Q4 ,356456
2010 Q1 ,361171
2010 Q2 ,365206
2010 Q3 ,368908
2010 Q4 ,371284
2011 Q1 ,374876
2011 Q2 ,375348
2011 Q3 ,382875
2011 Q4 ,382729
2012 Q1 ,381462
2012 Q2,381971
2012 Q3,389682
2012 Q4,388350
